model,race_acc,race_acc_norm,winogrande_acc,winogrande_acc_norm,commonsense_qa_acc
average-2point88-700B-0911,0.3599199542595769,0.3979416809605489,0.5603788476716653,0.5509076558800315,0.19737919737919737
hhy-ppl-100B-20250918,0.36077758719268155,0.3853630646083476,0.5564325177584846,0.5564325177584846,0.26371826371826373
hhy-ppl-725B-20250918,0.3630646083476272,0.39708404802744424,0.580110497237569,0.5595895816890292,0.22113022113022113
hhy-score-DSIR-173B-20250920,0.3542024013722127,0.3822184105202973,0.5943172849250198,0.569060773480663,0.19328419328419327
hhy-score-DSIR-173B-20250920we-8node,0.3493424814179531,0.3833619210977702,0.590370955011839,0.580110497237569,0.2031122031122031
hhy-score-all-2point9-20250811,0.3510577472841624,0.3893653516295026,0.5556432517758485,0.5430149960536701,0.20475020475020475
hhy-score-all-3point18-20250814,0.33104631217838765,0.351915380217267,0.5193370165745856,0.5217048145224941,0.18591318591318592
hhy-score-random-data-20250814,0.36935391652372784,0.3985134362492853,0.5816890292028414,0.585635359116022,0.21294021294021295
hhy-score-top-data-4point16-4point0-3point56-3point06-20250825,0.35277301315037163,0.3882218410520297,0.5367008681925809,0.5351223362273086,0.19983619983619982
hhy-score-top-data-4point16-4point0-3point56-3point06-20250903-seed32,0.34734133790737565,0.37507146941109204,0.5556432517758485,0.5540647198105761,0.19901719901719903
hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250821,0.3544882790165809,0.3853630646083476,0.5611681136543015,0.5556432517758485,0.21212121212121213
hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250903-seed32,0.3496283590623213,0.38136077758719267,0.5674822415153907,0.5666929755327546,0.2153972153972154
hhy-score-top-data-4point16-4point0-3point58-3point09-20250823,0.3496283590623213,0.37993138936535165,0.5509076558800315,0.5564325177584846,0.21375921375921375
hhy-score-top-data-4point16-4point0-3point58-3point09-direct-20250821,0.3507718696397942,0.38564894225271584,0.5619573796369376,0.5367008681925809,0.21703521703521703
nemotron-HQ-20250902-new,0.36335048599199543,0.3936535162950257,0.5714285714285714,0.5698500394632992,0.18427518427518427
nemotron-HQ-20250910-seed42-new,0.36906803887935963,0.41509433962264153,0.5706393054459353,0.5682715074980268,0.20475020475020475
nemotron-HQ-20250914-seed42-new,0.3744997141223556,0.39908519153802174,0.5824782951854776,0.5730071033938438,0.19737919737919737
nemotron-all-20250902-new,0.3707833047455689,0.39136649514008004,0.5808997632202052,0.569060773480663,0.20065520065520065
nemotron-all-20250908-new-seed21,0.37793024585477414,0.39622641509433965,0.5627466456195738,0.5564325177584846,0.20638820638820637
top-data-30B-0906-direct,0.3510577472841624,0.38593481989708406,0.5603788476716653,0.5556432517758485,0.1981981981981982
hhy-score-top-data-4point02-3point85-3point35-2point86-direct-20250830,,,,,,
hhy-score-top-data-4point02-3point85-3point35-2point86-direct-20250903,0.36192109777015435,0.3950829045168668,0.5808997632202052,0.5698500394632992,0.18673218673218672
hhy-score-top-data-4point075-4point0-3point62-3point13-20250826,0.3567753001715266,0.384505431675243,0.5516969218626677,0.5382794001578532,0.20638820638820637
hhy-score-top-data-4point075-4point0-3point62-3point13-direct-20250826,0.3544882790165809,0.3819325328759291,0.5343330702446725,0.5422257300710339,0.2203112203112203
hhy-score-top-data-4point1-3point95-3point48-3point-direct-20250821,0.3536306460834763,0.3816466552315609,0.56353591160221,0.5430149960536701,0.2244062244062244
hhy-score-top-data-4point1-3point95-3point48-3point-direct-20250903-seed32,0.35791881074899945,0.3879359634076615,0.5548539857932123,0.5406471981057617,0.21457821457821458
ori-dimension-direct-1125-4node,0.36506575185820467,0.38707833047455686,0.5548539857932123,0.5422257300710339,0.20147420147420148
ori-dimension-merge-1125-4node,0.362778730703259,0.389937106918239,0.5540647198105761,0.5485398579321231,0.19656019656019655
semdedup-1125-4node,0.3707833047455689,0.400800457404231,0.5706393054459353,0.5414364640883977,0.2194922194922195
domain-format-1125,0.3805031446540881,0.411663807890223,0.5737963693764798,0.56353591160221,0.21294021294021295
domain-topic-1125,0.37678673527730133,0.40222984562607206,0.5682715074980268,0.5714285714285714,0.19574119574119575
